Target
High Risk
High Risk
High Risk
High Risk
High Risk
Medium Risk
Medium Risk
No Fire
High Risk
No Fire
Medium Risk
Low Risk
High Risk
No Fire
Medium Risk
Low Risk
No Fire
Low Risk
High Risk
No Fire
No Fire
High Risk
No Fire
No Fire
No Fire
High Risk
Medium Risk
Low Risk
No Fire
No Fire
No Fire
Medium Risk
No Fire
Low Risk
No Fire
No Fire
High Risk
No Fire
No Fire
High Risk
Medium Risk
No Fire
No Fire
No Fire
No Fire
High Risk
No Fire
No Fire
High Risk
No Fire
Medium Risk
No Fire
No Fire
No Fire
No Fire
Medium Risk
Low Risk
Low Risk
Medium Risk
No Fire
No Fire
No Fire
Low Risk
High Risk
No Fire
Medium Risk
High Risk
High Risk
Medium Risk
No Fire
Medium Risk
High Risk
High Risk
Medium Risk
High Risk
Low Risk
High Risk
No Fire
High Risk
Low Risk
No Fire
Medium Risk
No Fire
Medium Risk
No Fire
Medium Risk
No Fire
Low Risk
High Risk
Low Risk
Medium Risk
High Risk
Medium Risk
High Risk
No Fire
No Fire
Medium Risk
No Fire
High Risk
No Fire
No Fire
No Fire
High Risk
No Fire
No Fire
Low Risk
No Fire
Medium Risk
No Fire
High Risk
Low Risk
Medium Risk
No Fire
Low Risk
Medium Risk
Medium Risk
High Risk
Medium Risk
No Fire
Low Risk
Medium Risk
No Fire
No Fire
Medium Risk
High Risk
Low Risk
Low Risk
No Fire
High Risk
Low Risk
No Fire
No Fire
High Risk
Low Risk
Medium Risk
No Fire
No Fire
Low Risk
No Fire
Medium Risk
No Fire
No Fire
Low Risk
Medium Risk
No Fire
Low Risk
Low Risk
High Risk
High Risk
Low Risk
High Risk
Low Risk
High Risk
Medium Risk
Low Risk
Medium Risk
No Fire
No Fire
Medium Risk
Low Risk
High Risk
No Fire
High Risk
Medium Risk
No Fire
No Fire
Low Risk
Low Risk
No Fire
No Fire
Low Risk
Medium Risk
High Risk
Low Risk
Medium Risk
Low Risk
Medium Risk
Medium Risk
Low Risk
No Fire
No Fire
Medium Risk
No Fire
Medium Risk
No Fire
High Risk
No Fire
High Risk
Medium Risk
No Fire
High Risk
No Fire
No Fire
Medium Risk
No Fire
No Fire
Medium Risk
Medium Risk
No Fire
Low Risk
Low Risk
Low Risk
No Fire
Medium Risk
No Fire
Low Risk
No Fire
Medium Risk
No Fire
Medium Risk
No Fire
Medium Risk
High Risk
High Risk
No Fire
No Fire
Medium Risk
Low Risk
Medium Risk
Medium Risk
Low Risk
No Fire
No Fire
No Fire
No Fire
High Risk
